"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"ESD-USB     (Volume Label Entry)"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2023-04-06 20:54:46 IST"	"0"	"3"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/ESD-USB     (Volume Label Entry)"
"WPSettings.dat"	".dat"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 20:54:45 IST"	"2023-04-06 20:54:46 IST"	"12"	"135"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/System Volume Information/WPSettings.dat"
"WPSettings.dat-slack"	".dat-slack"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 20:54:45 IST"	"2023-04-06 20:54:46 IST"	"4084"	"135"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/System Volume Information/WPSettings.dat-slack"
"IndexerVolumeGuid"	""	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 20:54:46 IST"	"2023-04-06 20:54:48 IST"	"76"	"138"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/System Volume Information/IndexerVolumeGuid"
"IndexerVolumeGuid-slack"	""	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 20:54:46 IST"	"2023-04-06 20:54:48 IST"	"4020"	"138"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/System Volume Information/IndexerVolumeGuid-slack"
"index.html.txt"	".txt"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 20:55:44 IST"	"2023-04-06 21:11:20 IST"	"158"	"519"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/index.html.txt"
"index.html.txt-slack"	".txt-slack"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 20:55:44 IST"	"2023-04-06 21:11:20 IST"	"3938"	"519"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/index.html.txt-slack"
"New Text Document.txt"	".txt"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:09:17 IST"	"2023-04-06 21:09:18 IST"	"0"	"522"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/New Text Document.txt"
"style.css.txt"	".txt"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:09:17 IST"	"2023-04-06 21:09:42 IST"	"163"	"524"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/style.css.txt"
"style.css.txt-slack"	".txt-slack"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:09:17 IST"	"2023-04-06 21:09:42 IST"	"3933"	"524"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/style.css.txt-slack"
"index.html"	".html"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 20:55:44 IST"	"2023-04-06 21:11:20 IST"	"158"	"526"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/index.html"
"index.html-slack"	".html-slack"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 20:55:44 IST"	"2023-04-06 21:11:20 IST"	"3938"	"526"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/index.html-slack"
"styles.css"	".css"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:09:17 IST"	"2023-04-06 21:14:24 IST"	"142"	"527"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/styles.css"
"styles.css-slack"	".css-slack"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:09:17 IST"	"2023-04-06 21:14:24 IST"	"3954"	"527"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/web page/styles.css-slack"
"_hoto.png"	".png"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:18:34 IST"	"2023-04-06 21:18:36 IST"	"0"	"901"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/_hoto.png"
"photo.png.crdownload"	".crdownload"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:18:11 IST"	"2023-04-06 21:18:12 IST"	"236333"	"904"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo.png.crdownload"
"photo.png.crdownload-slack"	".crdownload-slack"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:18:11 IST"	"2023-04-06 21:18:12 IST"	"1235"	"904"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo.png.crdownload-slack"
"photo.png"	".png"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:18:34 IST"	"2023-04-06 21:18:12 IST"	"236333"	"905"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo.png"
"photo.png-slack"	".png-slack"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:18:34 IST"	"2023-04-06 21:18:12 IST"	"1235"	"905"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo.png-slack"
"jason-blackeye-364785-2.jpg"	".jpg"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:02 IST"	"2023-04-06 21:19:04 IST"	"0"	"909"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/jason-blackeye-364785-2.jpg"
"jason-blackeye-364785-2.jpg"	".jpg"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:02 IST"	"2023-04-06 21:19:00 IST"	"100064"	"913"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/jason-blackeye-364785-2.jpg"
"jason-blackeye-364785-2.jpg-slack"	".jpg-slack"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:02 IST"	"2023-04-06 21:19:00 IST"	"2336"	"913"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/jason-blackeye-364785-2.jpg-slack"
"photo-1575936123452-b67c3203c357.jpg"	".jpg"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:18 IST"	"2023-04-06 21:19:20 IST"	"0"	"917"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo-1575936123452-b67c3203c357.jpg"
"photo-1575936123452-b67c3203c357.jpg.crdownload"	".crdownload"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:16 IST"	"2023-04-06 21:19:18 IST"	"99768"	"922"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo-1575936123452-b67c3203c357.jpg.crdownload"
"photo-1575936123452-b67c3203c357.jpg.crdownload-slack"	".crdownload-slack"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:16 IST"	"2023-04-06 21:19:18 IST"	"2632"	"922"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo-1575936123452-b67c3203c357.jpg.crdownload-slack"
"photo-1575936123452-b67c3203c357.jpg"	".jpg"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:18 IST"	"2023-04-06 21:19:18 IST"	"99768"	"926"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo-1575936123452-b67c3203c357.jpg"
"photo-1575936123452-b67c3203c357.jpg-slack"	".jpg-slack"	"r"	""	"2023-04-06 00:00:00 IST"	"2023-04-06 21:19:18 IST"	"2023-04-06 21:19:18 IST"	"2632"	"926"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/photo-1575936123452-b67c3203c357.jpg-slack"
"istockphoto-636761588-612x612.jpg"	".jpg"	"r"	"yes"	"2023-04-06 00:00:00 IST"	"2023-04-06 21:20:23 IST"	"2023-04-06 21:20:24 IST"	"0"	"930"	"null"	"unknown"	"rrwxrwxrwx"	"/img_E:/images/istockphoto-636761588-612x612.jpg"
